"","Timestamp","MaxCurr","EffCurr","Screen1","Screen2","Device"
"313",1536130004.32255,244.14,172.7,"Idle","On","On"
"314",1536130005.39219,268.55,189.9,"On","Idle","On"
"315",1536130006.46171,231.93,164,"Idle","On","Off"
"316",1536130007.53106,244.14,172.7,"Idle","On","On"
"317",1536130008.60016,256.35,181.3,"On","Idle","Off"
"318",1536130009.66878,231.93,164,"Idle","On","Off"
"319",1536130010.73722,256.35,181.3,"On","Idle","Off"
"320",1536130011.80628,244.14,172.7,"Idle","On","On"
"321",1536130012.87475,244.14,172.7,"Idle","On","On"
"322",1536130013.94346,256.35,181.3,"On","Idle","Off"
"323",1536130015.00964,231.93,164,"Idle","On","Off"
"324",1536130016.07968,256.35,181.3,"On","Idle","Off"
"325",1536130017.14826,244.14,172.7,"Idle","On","On"
"326",1536130018.21549,244.14,172.7,"Idle","On","On"
"327",1536130019.28359,256.35,181.3,"On","Idle","Off"
"328",1536130020.35277,256.35,181.3,"On","Idle","Off"
"329",1536130021.42237,256.35,181.3,"On","Idle","Off"
"330",1536130022.49093,244.14,172.7,"Idle","On","On"
"331",1536130023.55915,256.35,181.3,"On","Idle","Off"
"332",1536130024.62776,256.35,181.3,"On","Idle","Off"
"333",1536130025.69618,256.35,181.3,"On","Idle","Off"
"334",1536130026.76554,244.14,172.7,"Idle","On","On"
"335",1536130027.83376,268.55,189.9,"On","Idle","On"
"336",1536130028.90208,256.35,181.3,"On","Idle","Off"
"337",1536130029.96983,231.93,164,"Idle","On","Off"
"338",1536130031.03466,109.86,77.7,"Idle","Idle","On"
"339",1536130032.10264,158.69,112.2,"Off","On","Off"
"340",1536130033.16715,97.66,69.1,"Idle","Idle","On"
"341",1536130034.23155,109.86,77.7,"Idle","Idle","On"
"342",1536130035.30237,109.86,77.7,"Idle","Idle","On"
"343",1536130036.36919,109.86,77.7,"Idle","Idle","On"
"344",1536130037.43524,109.86,77.7,"Idle","Idle","On"
"345",1536130038.49884,109.86,77.7,"Idle","Idle","On"
"346",1536130039.56476,109.86,77.7,"Idle","Idle","On"
"347",1536130040.63005,109.86,77.7,"Idle","Idle","On"
"348",1536130041.69538,97.66,69.1,"Idle","Idle","On"
"349",1536130042.76062,97.66,69.1,"Idle","Idle","On"
"350",1536130043.82551,97.66,69.1,"Idle","Idle","On"
"351",1536130044.89017,97.66,69.1,"Idle","Idle","On"
"352",1536130045.95672,109.86,77.7,"Idle","Idle","On"
"353",1536130047.02183,109.86,77.7,"Idle","Idle","On"
"354",1536130048.08888,109.86,77.7,"Idle","Idle","On"
"355",1536130049.15273,97.66,69.1,"Idle","Idle","On"
"356",1536130050.21898,97.66,69.1,"Idle","Idle","On"
"357",1536130051.28579,109.86,77.7,"Idle","Idle","On"
"358",1536130052.35386,122.07,86.3,"Idle","Idle","On"
"359",1536130053.41983,109.86,77.7,"Idle","Idle","On"
"360",1536130054.48458,109.86,77.7,"Idle","Idle","On"
"361",1536130055.55098,109.86,77.7,"Idle","Idle","On"
"362",1536130056.61826,109.86,77.7,"Idle","Idle","On"
"363",1536130057.68453,109.86,77.7,"Idle","Idle","On"
"364",1536130058.75185,109.86,77.7,"Idle","Idle","On"
"365",1536130059.81858,109.86,77.7,"Idle","Idle","On"
"366",1536130060.88423,97.66,69.1,"Idle","Idle","On"
"367",1536130061.94925,109.86,77.7,"Idle","Idle","On"
"368",1536130063.01456,109.86,77.7,"Idle","Idle","On"
"369",1536130064.08025,109.86,77.7,"Idle","Idle","On"
"370",1536130065.14507,97.66,69.1,"Idle","Idle","On"
"371",1536130066.21084,109.86,77.7,"Idle","Idle","On"
"372",1536130067.27634,109.86,77.7,"Idle","Idle","On"
"373",1536130068.34342,109.86,77.7,"Idle","Idle","On"
"374",1536130069.40776,97.66,69.1,"Idle","Idle","On"
"375",1536130070.47358,109.86,77.7,"Idle","Idle","On"
"376",1536130071.53909,109.86,77.7,"Idle","Idle","On"
"377",1536130072.6071,109.86,77.7,"Idle","Idle","On"
"378",1536130073.67264,97.66,69.1,"Idle","Idle","On"
"379",1536130074.73944,109.86,77.7,"Idle","Idle","On"
"380",1536130075.80487,97.66,69.1,"Idle","Idle","On"
"381",1536130076.86981,109.86,77.7,"Idle","Idle","On"
"382",1536130077.93647,97.66,69.1,"Idle","Idle","On"
"383",1536130078.99989,97.66,69.1,"Idle","Idle","On"
"384",1536130080.06601,109.86,77.7,"Idle","Idle","On"
"385",1536130081.13259,109.86,77.7,"Idle","Idle","On"
"386",1536130082.19988,109.86,77.7,"Idle","Idle","On"
"387",1536130083.26589,97.66,69.1,"Idle","Idle","On"
"388",1536130084.33096,109.86,77.7,"Idle","Idle","On"
"389",1536130085.39661,109.86,77.7,"Idle","Idle","On"
"390",1536130086.46136,97.66,69.1,"Idle","Idle","On"
"391",1536130087.52815,97.66,69.1,"Idle","Idle","On"
"392",1536130088.59473,109.86,77.7,"Idle","Idle","On"
"393",1536130089.66107,109.86,77.7,"Idle","Idle","On"
"394",1536130090.72798,109.86,77.7,"Idle","Idle","On"
"395",1536130091.79646,109.86,77.7,"Idle","Idle","On"
"396",1536130092.86061,97.66,69.1,"Idle","Idle","On"
"397",1536130093.92438,97.66,69.1,"Idle","Idle","On"
"398",1536130094.98867,97.66,69.1,"Idle","Idle","On"
"399",1536130096.05395,97.66,69.1,"Idle","Idle","On"
"400",1536130097.12039,109.86,77.7,"Idle","Idle","On"
"401",1536130098.18798,109.86,77.7,"Idle","Idle","On"
"402",1536130099.25378,97.66,69.1,"Idle","Idle","On"
"403",1536130100.31706,109.86,77.7,"Idle","Idle","On"
"404",1536130101.38429,97.66,69.1,"Idle","Idle","On"
"405",1536130102.44908,97.66,69.1,"Idle","Idle","On"
"406",1536130103.51469,109.86,77.7,"Idle","Idle","On"
"407",1536130104.57932,109.86,77.7,"Idle","Idle","On"
"408",1536130105.64466,109.86,77.7,"Idle","Idle","On"
"409",1536130106.71498,109.86,77.7,"Idle","Idle","On"
"410",1536130107.77783,97.66,69.1,"Idle","Idle","On"
"411",1536130108.84234,97.66,69.1,"Idle","Idle","On"
"412",1536130109.90873,109.86,77.7,"Idle","Idle","On"
"413",1536130110.9769,109.86,77.7,"Idle","Idle","On"
"414",1536130112.04292,109.86,77.7,"Idle","Idle","On"
"415",1536130113.10934,109.86,77.7,"Idle","Idle","On"
"416",1536130114.17574,109.86,77.7,"Idle","Idle","On"
"417",1536130115.24271,109.86,77.7,"Idle","Idle","On"
"418",1536130116.30819,109.86,77.7,"Idle","Idle","On"
"419",1536130117.37289,109.86,77.7,"Idle","Idle","On"
"420",1536130118.44081,109.86,77.7,"Idle","Idle","On"
"421",1536130119.50765,109.86,77.7,"Idle","Idle","On"
"422",1536130120.57297,109.86,77.7,"Idle","Idle","On"
"423",1536130121.63792,97.66,69.1,"Idle","Idle","On"
"424",1536130122.70276,97.66,69.1,"Idle","Idle","On"
"425",1536130123.76917,109.86,77.7,"Idle","Idle","On"
"426",1536130124.83466,109.86,77.7,"Idle","Idle","On"
"427",1536130125.89906,109.86,77.7,"Idle","Idle","On"
"428",1536130126.96608,109.86,77.7,"Idle","Idle","On"
"429",1536130128.03409,109.86,77.7,"Idle","Idle","On"
"430",1536130129.09991,109.86,77.7,"Idle","Idle","On"
"431",1536130130.16671,109.86,77.7,"Idle","Idle","On"
"432",1536130131.23145,109.86,77.7,"Idle","Idle","On"
"433",1536130132.29742,109.86,77.7,"Idle","Idle","On"
"434",1536130133.36165,97.66,69.1,"Idle","Idle","On"
"435",1536130134.42683,97.66,69.1,"Idle","Idle","On"
"436",1536130135.49376,109.86,77.7,"Idle","Idle","On"
"437",1536130136.55961,109.86,77.7,"Idle","Idle","On"
"438",1536130137.62632,109.86,77.7,"Idle","Idle","On"
"439",1536130138.69084,97.66,69.1,"Idle","Idle","On"
"440",1536130139.75801,134.28,95,"Idle","Idle","On"
"441",1536130140.82235,109.86,77.7,"Idle","Idle","On"
"442",1536130141.88906,109.86,77.7,"Idle","Idle","On"
"443",1536130142.95629,109.86,77.7,"Idle","Idle","On"
"444",1536130144.02274,97.66,69.1,"Idle","Idle","On"
"445",1536130145.08817,109.86,77.7,"Idle","Idle","On"
"446",1536130146.15314,97.66,69.1,"Idle","Idle","On"
"447",1536130147.21786,109.86,77.7,"Idle","Idle","On"
"448",1536130148.2841,109.86,77.7,"Idle","Idle","On"
"449",1536130149.34877,97.66,69.1,"Idle","Idle","On"
"450",1536130150.4147,109.86,77.7,"Idle","Idle","On"
"451",1536130151.47731,97.66,69.1,"Idle","Idle","On"
"452",1536130152.54474,97.66,69.1,"Idle","Idle","On"
"453",1536130153.6099,97.66,69.1,"Idle","Idle","On"
"454",1536130154.6744,97.66,69.1,"Idle","Idle","On"
"455",1536130155.73884,97.66,69.1,"Idle","Idle","On"
"456",1536130156.80627,109.86,77.7,"Idle","Idle","On"
"457",1536130157.8734,109.86,77.7,"Idle","Idle","On"
"458",1536130158.94041,109.86,77.7,"Idle","Idle","On"
"459",1536130160.00648,109.86,77.7,"Idle","Idle","On"
"460",1536130161.07067,97.66,69.1,"Idle","Idle","On"
"461",1536130162.13732,109.86,77.7,"Idle","Idle","On"
"462",1536130163.20247,97.66,69.1,"Idle","Idle","On"
"463",1536130164.26863,109.86,77.7,"Idle","Idle","On"
"464",1536130165.33365,109.86,77.7,"Idle","Idle","On"
"465",1536130166.39911,109.86,77.7,"Idle","Idle","On"
"466",1536130167.46543,97.66,69.1,"Idle","Idle","On"
"467",1536130168.53167,97.66,69.1,"Idle","Idle","On"
"468",1536130169.59738,109.86,77.7,"Idle","Idle","On"
"469",1536130170.66411,122.07,86.3,"Idle","Idle","On"
"470",1536130171.72983,122.07,86.3,"Idle","Idle","On"
"471",1536130172.7987,122.07,86.3,"Idle","Idle","On"
"472",1536130173.86614,134.28,95,"Idle","Idle","On"
"473",1536130174.93401,122.07,86.3,"Idle","Idle","On"
"474",1536130176.00224,134.28,95,"Idle","Idle","On"
"475",1536130177.07079,122.07,86.3,"Idle","Idle","On"
"476",1536130178.13679,134.28,95,"Idle","Idle","On"
"477",1536130179.20385,122.07,86.3,"Idle","Idle","On"
"478",1536130180.27082,134.28,95,"Idle","Idle","On"
